type,percent_dead,viab,nb_CTL,time,legend,date
APC,20.783924579094755,79.21607542090524,4,48,APC$^{Min\\+}$,220922
APC,22.857645553844502,77.1423544461555,5,48,APC$^{Min\\+}$,220922
WT,17.446374168782373,82.55362583121763,2,48,CTRL,220922
WT,30.065502453363464,69.93449754663654,7,48,CTRL,220922
WT,24.790945064140608,75.2090549358594,9,48,CTRL,220922
WT,47.91663811382048,52.08336188617952,7,48,CTRL,220922
WT,44.73353966380235,55.26646033619765,8,48,CTRL,220922
WT,16.73805516991852,83.26194483008148,2,48,CTRL,220922
WT,31.05047133577521,68.94952866422479,3,48,CTRL,220922
APC,24.96903588456444,75.03096411543555,3,48,APC$^{Min\\+}$,220922
WT,34.39510065815094,65.60489934184906,8,48,CTRL,220922
WT,28.425616302302,71.574383697698,4,48,CTRL,220922
WT,35.39428732932289,64.60571267067711,5,48,CTRL,220922
WT,35.75334189439236,64.24665810560764,2,48,CTRL,220922
WT,15.767946574904707,84.23205342509529,4,48,CTRL,220922
WT,24.62077584506096,75.37922415493904,1,48,CTRL,220922
WT,65.8,34.2,23,48,CTRL,220922
APC,25.891804347207803,74.1081956527922,2,48,APC$^{Min\\+}$,220922
WT,29.248479445853327,70.75152055414668,8,48,CTRL,220922
control,6.060899587605573,93.93910041239442,0,48,no CTL,221011
control,6.351204438379567,93.64879556162045,0,48,no CTL,221011
control,5.896028632279396,94.1039713677206,0,48,no CTL,221011
control,4.025264795949819,95.97473520405018,0,48,no CTL,221011
control,5.364555800255333,94.63544419974468,0,48,no CTL,221011
control,5.240800757061264,94.75919924293872,0,48,no CTL,221011
control,12.72195008270276,87.27804991729724,0,48,no CTL,221011
control,1.727653811011011,98.272346188989,0,48,no CTL,221011
control,2.850487372516466,97.14951262748352,0,48,no CTL,221011
control,2.632606619600841,97.36739338039916,0,48,no CTL,221011
control,3.480133932830683,96.51986606716932,0,48,no CTL,221011
control,3.189236316471616,96.81076368352838,0,48,no CTL,221011
control,2.8210165841373738,97.17898341586265,0,48,no CTL,221011
control,5.257123505489186,94.7428764945108,0,48,no CTL,221011
control,8.246174628656975,91.75382537134304,0,48,no CTL,221011
control,4.081338440996856,95.91866155900314,0,48,no CTL,221011
control,5.224327515294805,94.7756724847052,0,48,no CTL,221011
control,5.410675004269106,94.58932499573088,0,48,no CTL,221011
control,6.107714537457903,93.89228546254208,0,48,no CTL,221011
control,4.262847030948578,95.73715296905142,0,48,no CTL,221011
control,3.37557850035701,96.624421499643,0,48,no CTL,221011
control,4.262872823173116,95.73712717682687,0,48,no CTL,221011
control,3.653501003972084,96.34649899602792,0,48,no CTL,221011
control,3.96093070809054,96.03906929190946,0,48,no CTL,221011
control,5.594332874261203,94.4056671257388,0,48,no CTL,221011
control,20.07145862526891,79.92854137473108,0,48,no CTL,221011
control,4.970336706487334,95.02966329351268,0,48,no CTL,221011
control,3.5408913155386483,96.45910868446136,0,48,no CTL,221011
control,3.87281930895382,96.12718069104618,0,48,no CTL,221011
control,4.046056248562317,95.95394375143768,0,48,no CTL,221011
control,3.964399952035463,96.03560004796454,0,48,no CTL,221011
control,3.7154526876959344,96.28454731230408,0,48,no CTL,221011
control,3.533334454361154,96.46666554563885,0,48,no CTL,221011
control,3.663104683760536,96.33689531623946,0,48,no CTL,221011
control,5.76491741317402,94.23508258682598,0,48,no CTL,221025
control,6.404348093693679,93.59565190630632,0,48,no CTL,221025
control,5.424906132927278,94.57509386707272,0,48,no CTL,221025
control,8.394188718004798,91.6058112819952,0,48,no CTL,221025
control,4.353074763532641,95.64692523646735,0,48,no CTL,221025
control,9.13026715096489,90.8697328490351,0,48,no CTL,221025
control,2.874613415952312,97.12538658404767,0,48,no CTL,221025
control,6.425679301206233,93.57432069879376,0,48,no CTL,221025
control,6.611238435768311,93.38876156423169,0,48,no CTL,221025
control,2.909500796222832,97.09049920377716,0,48,no CTL,221025
control,4.00157944937217,95.99842055062784,0,48,no CTL,221025
control,3.825350943382929,96.17464905661708,0,48,no CTL,221025
control,5.590519665187252,94.40948033481274,0,48,no CTL,221025
control,2.552032582080765,97.44796741791924,0,48,no CTL,221025
control,5.116977898049196,94.8830221019508,0,48,no CTL,221025
control,8.189404329143017,91.81059567085698,0,48,no CTL,221025
control,5.649873808075338,94.35012619192466,0,48,no CTL,221025
control,6.003708099920956,93.99629190007904,0,48,no CTL,221025
control,4.382046615352707,95.6179533846473,0,48,no CTL,221025
control,5.376087812948397,94.6239121870516,0,48,no CTL,221025
control,3.308368024388596,96.6916319756114,0,48,no CTL,221025
control,7.2877267763419695,92.71227322365804,0,48,no CTL,221025
control,3.9337837674721774,96.06621623252782,0,48,no CTL,221025
control,5.351631157443036,94.64836884255696,0,48,no CTL,221025
control,5.274227141445155,94.72577285855483,0,48,no CTL,221025
control,3.3101501612063067,96.68984983879368,0,48,no CTL,221025
control,8.898274853940244,91.10172514605976,0,48,no CTL,221025
control,6.194249588882067,93.80575041111793,0,48,no CTL,221025
control,6.3313633984375794,93.66863660156244,0,48,no CTL,221025
control,7.457149775542088,92.54285022445792,0,48,no CTL,221025
control,7.7007116680699,92.2992883319301,0,48,no CTL,221025
control,5.7940999786344864,94.20590002136552,0,48,no CTL,221025
control,9.452017105406428,90.54798289459356,0,48,no CTL,221025
control,7.660809702159869,92.33919029784012,0,48,no CTL,221025
control,9.699102973472147,90.30089702652784,0,48,no CTL,221025
control,8.726227573954937,91.27377242604508,0,48,no CTL,221025
control,7.739228215519402,92.2607717844806,0,48,no CTL,221025
control,4.513777227526494,95.48622277247352,0,48,no CTL,221025
control,3.1196315647803665,96.88036843521964,0,48,no CTL,221025
control,5.5026159491809645,94.49738405081904,0,48,no CTL,221025
control,4.717136749459268,95.28286325054071,0,48,no CTL,221025
control,4.564763590477751,95.43523640952225,0,48,no CTL,221025
control,6.008508349528897,93.9914916504711,0,48,no CTL,221025
control,3.120056174248895,96.8799438257511,0,48,no CTL,221025
control,4.766552043409562,95.23344795659044,0,48,no CTL,221025
control,7.911762113622908,92.08823788637709,0,48,no CTL,221025
control,5.243044300416147,94.75695569958386,0,48,no CTL,221025
control,6.047605218015766,93.95239478198424,0,48,no CTL,221025
control,8.992609749778257,91.00739025022176,0,48,no CTL,221025
control,9.09256896240268,90.90743103759732,0,48,no CTL,221025
control,6.709091517640635,93.29090848235936,0,48,no CTL,221025
control,7.976110604748969,92.02388939525105,0,48,no CTL,221025
control,6.372246140941876,93.62775385905812,0,48,no CTL,221025
control,27.805853546734426,72.19414645326557,0,48,no CTL,221025
control,4.934591629483003,95.065408370517,0,48,no CTL,221025
