type,date,well,particle,P_inv,pos,arrest_percent,max_obs_n
wt,220901.0,46.0,51.0,0.2804846698502967,0.6530612244897959,65.3061224489796,7
wt,220901.0,46.0,52.0,0.29380501884472965,0.7254901960784313,72.54901960784314,7
wt,220901.0,46.0,53.0,1.0748462963327212,0.9097744360902256,90.97744360902256,7
wt,220901.0,46.0,54.0,0.5797117929660781,0.8260869565217391,82.6086956521739,7
wt,220901.0,46.0,55.0,0.9692330264718813,1.0,100.0,7
wt,220901.0,49.0,56.0,1.3430684907987835,1.0,100.0,5
wt,220901.0,49.0,57.0,-0.4633365676728286,0.4528301886792453,45.28301886792453,5
wt,220901.0,49.0,58.0,1.7194158024176032,1.0,100.0,5
wt,220901.0,49.0,59.0,-1.6009290858327696,0.0625,6.25,5
wt,220901.0,49.0,60.0,1.0053966264780674,0.9672131147540983,96.72131147540983,5
wt,220901.0,53.0,61.0,-0.9428159682153461,0.2682926829268293,26.82926829268293,6
wt,220901.0,53.0,62.0,1.5079536720926798,1.0,100.0,6
wt,220901.0,53.0,63.0,0.8821454882990893,0.8072289156626506,80.72289156626506,6
wt,220901.0,53.0,64.0,0.34663102888595787,0.676923076923077,67.6923076923077,6
wt,220901.0,53.0,65.0,1.3363066467447247,1.0,100.0,6
wt,220901.0,53.0,66.0,-0.5156764780121488,0.5194805194805194,51.94805194805194,6
wt,220922.0,3.0,106.0,1.1206993431765806,1.0,100.0,7
wt,220922.0,3.0,107.0,1.0371135295423228,0.9356435643564357,93.56435643564357,7
wt,220922.0,3.0,108.0,-0.023776451663330585,0.5232558139534884,52.32558139534884,7
wt,220922.0,3.0,109.0,0.3266613084367154,0.7674418604651163,76.74418604651163,7
wt,220922.0,3.0,110.0,0.462740613594,1.0,100.0,7
wt,220922.0,3.0,111.0,1.435784477145862,1.0,100.0,7
wt,220922.0,3.0,112.0,-0.2060477848654019,0.5614035087719298,56.14035087719298,7
wt,220922.0,3.0,113.0,-0.07486270595930813,0.6071428571428571,60.71428571428571,7
wt,220922.0,3.0,114.0,1.2555886845984066,1.0,100.0,7
wt,220922.0,3.0,115.0,0.7164001581411459,0.8356164383561644,83.56164383561644,7
wt,220922.0,4.0,116.0,-0.7040806942684249,0.3,30.0,6
wt,220922.0,4.0,117.0,-1.3849388188249772,0.43478260869565216,43.47826086956522,6
wt,220922.0,4.0,118.0,0.5924705926696997,0.8826086956521739,88.26086956521739,6
wt,220922.0,4.0,119.0,0.5489851550682128,0.7574468085106383,75.74468085106383,6
wt,220922.0,4.0,120.0,1.805221578980767,1.0,100.0,6
wt,220922.0,4.0,121.0,0.30894751960918354,0.746031746031746,74.60317460317461,6
wt,220922.0,4.0,122.0,0.9127327186647174,0.8444444444444444,84.44444444444444,6
wt,220922.0,4.0,123.0,0.7171056688166753,1.0,100.0,6
wt,220922.0,5.0,124.0,-1.3438385965587194,0.2830188679245283,28.30188679245283,6
wt,220922.0,5.0,125.0,1.2419035204899567,0.9767441860465116,97.67441860465115,6
wt,220922.0,5.0,126.0,1.7533450626567315,1.0,100.0,6
wt,220922.0,5.0,128.0,1.8582497535769125,1.0,100.0,6
wt,220922.0,5.0,129.0,0.6802987577953042,0.8409090909090909,84.0909090909091,6
wt,220922.0,5.0,131.0,1.6750996979557107,1.0,100.0,6
wt,220922.0,5.0,132.0,1.662665089105265,1.0,100.0,6
wt,220922.0,9.0,133.0,1.164729605568286,0.8936170212765957,89.36170212765957,7
wt,220922.0,9.0,134.0,0.019985871712378884,0.6422764227642277,64.22764227642277,7
wt,220922.0,9.0,135.0,-3.3960147357568387,0.13513513513513514,13.513513513513514,7
wt,220922.0,9.0,136.0,1.2551869728714213,1.0,100.0,7
wt,220922.0,9.0,137.0,-0.46988862630092076,0.4942528735632184,49.42528735632184,7
wt,220922.0,9.0,138.0,0.8024809584543849,1.0,100.0,7
wt,220922.0,9.0,139.0,0.9813289166317161,0.8320610687022901,83.20610687022901,7
wt,220922.0,9.0,140.0,-0.3425885844234912,0.4230769230769231,42.30769230769231,7
wt,220922.0,14.0,141.0,0.2620650405823747,0.6912280701754386,69.12280701754386,6
wt,220922.0,14.0,142.0,-0.3526361246868331,0.4234875444839858,42.34875444839858,6
wt,220922.0,14.0,143.0,0.14550025214241052,0.583941605839416,58.3941605839416,6
wt,220922.0,14.0,144.0,1.5322358284581656,1.0,100.0,6
wt,220922.0,14.0,145.0,-0.23140550128774526,0.39622641509433965,39.62264150943396,6
wt,220922.0,14.0,147.0,0.6951969726416641,0.8131868131868132,81.31868131868131,6
wt,221124.0,24.0,67.0,0.43082772291150834,0.6872037914691943,68.72037914691943,2
wt,221124.0,24.0,68.0,0.5969480907415601,0.7066666666666667,70.66666666666667,2
wt,221124.0,25.0,69.0,1.5494535063001191,1.0,100.0,1
wt,221124.0,26.0,70.0,0.8592138323146431,0.7668711656441718,76.68711656441718,4
wt,221124.0,26.0,71.0,1.2288791281712734,1.0,100.0,4
wt,221124.0,26.0,72.0,1.5513626576562536,1.0,100.0,4
wt,221124.0,26.0,73.0,1.7357644899836864,1.0,100.0,4
wt,221124.0,28.0,74.0,1.7684516992544665,1.0,100.0,3
wt,221124.0,28.0,75.0,-0.8212134959040465,0.6176470588235294,61.76470588235294,3
wt,221124.0,28.0,76.0,0.73732436498676,0.7076923076923077,70.76923076923077,3
wt,221124.0,28.0,77.0,0.7424444340707347,0.9423076923076923,94.23076923076923,3
wt,221124.0,29.0,78.0,-0.3324693558422832,0.4748858447488584,47.48858447488584,6
wt,221124.0,29.0,79.0,1.8018242801284605,1.0,100.0,6
wt,221124.0,29.0,80.0,-0.4301902735208169,0.4153846153846154,41.53846153846154,6
wt,221124.0,29.0,81.0,1.8945327933961944,1.0,100.0,6
wt,221124.0,29.0,82.0,1.356025860430723,1.0,100.0,6
wt,221124.0,29.0,83.0,0.2796649642498036,0.5939849624060151,59.3984962406015,6
wt,221124.0,29.0,84.0,1.1696188758156105,0.8495575221238938,84.95575221238938,6
wt,221124.0,29.0,85.0,0.9206779883580875,1.0,100.0,6
wt,221124.0,32.0,87.0,0.9667439536381293,0.9452887537993921,94.52887537993921,6
wt,221124.0,32.0,88.0,0.6584132959494969,0.7457627118644068,74.57627118644068,6
wt,221124.0,32.0,89.0,1.1956268592349835,0.9130434782608695,91.30434782608695,6
wt,221124.0,32.0,90.0,0.9459613705700846,0.7553191489361702,75.53191489361703,6
wt,221124.0,32.0,91.0,1.8661678705714175,1.0,100.0,6
wt,221124.0,32.0,92.0,0.4540961913946064,0.74375,74.375,6
wt,221124.0,32.0,93.0,1.9799652676097954,1.0,100.0,6
wt,221124.0,33.0,94.0,1.558337667341753,1.0,100.0,2
wt,221124.0,33.0,95.0,1.761464500105245,1.0,100.0,2
wt,221124.0,33.0,96.0,-0.5436817529158818,0.0,0.0,2
wt,221124.0,33.0,97.0,0.230111358208298,0.6610169491525424,66.10169491525424,2
wt,221124.0,34.0,98.0,1.9457380187573363,1.0,100.0,2
wt,221124.0,34.0,100.0,1.4417750761042056,1.0,100.0,2
wt,221124.0,37.0,101.0,1.7928211284415008,1.0,100.0,5
wt,221124.0,37.0,102.0,1.1981110063137155,0.81,81.0,5
wt,221124.0,37.0,103.0,1.6050941901685887,1.0,100.0,5
wt,221124.0,37.0,104.0,0.5762483345501486,0.7727272727272727,77.27272727272727,5
wt,221124.0,37.0,105.0,1.641079360639605,1.0,100.0,5
